,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
619,11.3,0.37,0.41,2.3,0.088,6.0,0.9988,3.09,0.8,9.3,10.0
420,9.5,0.56,0.33,2.4,0.089,35.0,0.9972,3.28,0.73,11.8,32.0
1511,7.1,0.69,0.04,2.1,0.068,19.0,0.99712,3.44,0.67,9.8,8.0
1430,7.4,0.41,0.24,1.8,0.066,18.0,0.9956,3.37,0.62,10.4,29.0
717,7.6,0.46,0.11,2.6,0.079,12.0,0.9968,3.21,0.57,10.0,37.0
957,9.5,0.37,0.52,2.0,0.088,12.0,0.99613,3.29,0.58,11.1,39.0
1526,6.8,0.47,0.08,2.2,0.064,18.0,0.99553,3.3,0.65,9.6,20.0
8,7.8,0.58,0.02,2.0,0.073,9.0,0.9968,3.36,0.57,9.5,9.0
1355,6.1,0.32,0.25,1.8,0.086,5.0,0.99464,3.36,0.44,10.1,27.0
362,11.9,0.58,0.66,2.5,0.072,6.0,0.9992,3.05,0.56,10.0,31.0
1336,6.0,0.5,0.0,1.4,0.057,15.0,0.99448,3.36,0.45,9.5,11.0
1447,6.8,0.67,0.0,1.9,0.08,22.0,0.99701,3.4,0.74,9.7,17.0
1052,5.6,0.605,0.05,2.4,0.073,19.0,0.99258,3.56,0.55,12.9,6.0
1585,7.2,0.39,0.44,2.6,0.066,22.0,0.99494,3.3,0.84,11.5,26.0
817,10.8,0.29,0.42,1.6,0.084,19.0,0.99545,3.28,0.73,11.9,8.0
785,9.9,0.35,0.41,2.3,0.083,11.0,0.9982,3.21,0.5,9.5,50.0
443,10.0,0.44,0.49,2.7,0.077,11.0,0.9963,3.23,0.63,11.6,8.0
1240,7.5,0.61,0.2,1.7,0.076,36.0,0.99494,3.1,0.4,9.3,24.0
378,11.4,0.625,0.66,6.2,0.088,6.0,0.9988,3.11,0.99,13.3,18.0
274,7.5,0.65,0.18,7.0,0.088,27.0,0.99915,3.38,0.77,9.4,67.0
989,9.7,0.295,0.4,1.5,0.073,14.0,0.99556,3.14,0.51,10.9,7.0
1226,7.5,0.58,0.03,4.1,0.08,27.0,0.99592,3.02,0.47,9.2,19.0
1124,6.5,0.58,0.0,2.2,0.096,3.0,0.99557,3.62,0.62,11.5,10.0
374,14.0,0.41,0.63,3.8,0.089,6.0,1.0014,3.01,0.81,10.8,41.0
1115,7.0,0.69,0.07,2.5,0.091,15.0,0.99572,3.38,0.6,11.3,6.0
556,10.9,0.53,0.49,4.6,0.118,10.0,1.0002,3.07,0.56,11.7,7.0
882,8.4,0.31,0.29,3.1,0.194,14.0,0.99536,3.22,0.78,12.0,12.0
925,8.6,0.22,0.36,1.9,0.064,53.0,0.99604,3.47,0.87,11.0,24.0
1260,8.6,0.635,0.68,1.8,0.403,19.0,0.99632,3.02,1.15,9.3,37.0
1583,6.2,0.46,0.29,2.1,0.074,32.0,0.99578,3.33,0.62,9.8,66.0
765,9.2,0.67,0.1,3.0,0.091,12.0,0.99888,3.31,0.54,9.5,36.0
1516,6.1,0.32,0.25,2.3,0.071,23.0,0.99633,3.42,0.97,10.6,35.0
306,7.6,0.62,0.32,2.2,0.082,7.0,0.9966,3.36,0.52,9.4,47.0
339,12.5,0.28,0.54,2.3,0.082,12.0,0.9997,3.11,1.36,9.8,17.0
454,7.0,0.23,0.4,1.6,0.063,21.0,0.9952,3.5,0.63,11.1,46.0
714,9.9,0.74,0.28,2.6,0.078,21.0,0.998,3.28,0.51,9.8,56.0
745,7.3,0.51,0.18,2.1,0.07,12.0,0.99768,3.52,0.73,9.5,16.0
158,7.1,0.68,0.0,2.2,0.073,12.0,0.9969,3.48,0.5,9.3,10.0
804,8.4,0.52,0.22,2.7,0.084,4.0,0.99682,3.26,0.57,9.9,14.0
89,7.0,0.62,0.08,1.8,0.076,8.0,0.9978,3.48,0.53,9.0,16.0
636,9.6,0.88,0.28,2.4,0.086,30.0,0.9979,3.24,0.53,9.4,117.0
269,11.5,0.18,0.51,4.0,0.104,4.0,0.9996,3.28,0.97,10.1,19.0
553,5.0,1.04,0.24,1.6,0.05,32.0,0.9934,3.74,0.62,11.5,64.0
834,8.8,0.685,0.26,1.6,0.088,16.0,0.99694,3.32,0.47,9.4,7.0
865,7.2,0.635,0.07,2.6,0.077,16.0,0.99748,3.51,0.54,9.7,70.0
761,9.3,0.655,0.26,2.0,0.096,5.0,0.99738,3.25,0.42,9.6,30.0
590,9.0,0.45,0.49,2.6,0.084,21.0,0.9987,3.35,0.57,9.7,54.0
32,8.3,0.655,0.12,2.3,0.083,15.0,0.9966,3.17,0.66,9.8,98.0
704,9.1,0.765,0.04,1.6,0.078,4.0,0.998,3.29,0.54,9.7,10.0
1503,6.2,0.44,0.39,2.5,0.077,6.0,0.99555,3.51,0.69,11.0,8.0
813,6.9,0.39,0.24,2.1,0.102,4.0,0.99462,3.44,0.58,11.4,3.0
44,6.8,0.67,0.02,1.8,0.05,5.0,0.9962,3.48,0.52,9.5,6.0
207,7.8,0.57,0.31,1.8,0.069,26.0,0.99625,3.29,0.53,9.3,94.0
182,7.2,0.73,0.02,2.5,0.076,16.0,0.9972,3.44,0.52,9.3,26.0
237,7.2,0.645,0.0,1.9,0.097,15.0,0.99675,3.37,0.58,9.2,24.0
959,8.0,0.59,0.05,2.0,0.089,12.0,0.99735,3.36,0.61,10.0,20.0
148,6.9,0.49,0.1,2.3,0.074,12.0,0.9959,3.42,0.58,10.2,18.0
546,7.5,0.55,0.24,2.0,0.078,10.0,0.9983,3.45,0.78,9.5,18.0
513,10.5,0.51,0.64,2.4,0.107,6.0,0.9973,3.09,0.66,11.8,9.0
1298,5.7,0.6,0.0,1.4,0.063,11.0,0.99191,3.45,0.56,12.2,7.0
128,8.0,0.59,0.16,1.8,0.065,3.0,0.9962,3.42,0.92,10.5,13.0
1331,7.8,0.87,0.26,3.8,0.107,31.0,0.99668,3.26,0.46,9.2,36.0
491,9.2,0.41,0.5,2.5,0.055,12.0,0.9952,3.34,0.79,13.3,13.0
982,7.3,0.52,0.32,2.1,0.07,51.0,0.99418,3.34,0.82,12.9,19.0
1080,10.3,0.27,0.56,1.4,0.047,3.0,0.99471,3.16,0.51,11.8,5.0
617,11.5,0.31,0.51,2.2,0.079,14.0,0.9982,3.03,0.93,9.8,14.0
1316,5.4,0.74,0.0,1.2,0.041,16.0,0.99258,4.01,0.59,12.5,30.0
1213,9.6,0.38,0.42,1.9,0.071,5.0,0.99659,3.15,0.75,10.5,8.0
1568,7.0,0.56,0.13,1.6,0.077,25.0,0.99629,3.34,0.59,9.2,17.0
296,10.6,0.83,0.37,2.6,0.086,26.0,0.9981,3.16,0.52,9.9,44.0
1544,8.4,0.37,0.43,2.3,0.063,12.0,0.9955,3.17,0.81,11.2,7.0
447,9.3,0.48,0.29,2.1,0.127,6.0,0.9968,3.22,0.72,11.2,10.0
1490,7.1,0.22,0.49,1.8,0.039,8.0,0.99344,3.39,0.56,12.4,10.0
1047,7.1,0.43,0.17,1.8,0.082,27.0,0.99634,3.49,0.64,10.4,24.0
1434,10.2,0.54,0.37,15.4,0.214,55.0,1.00369,3.18,0.77,9.0,40.0
34,5.2,0.32,0.25,1.8,0.103,13.0,0.9957,3.38,0.55,9.2,37.0
1261,6.3,1.02,0.0,2.0,0.083,17.0,0.99437,3.59,0.55,11.2,7.0
1589,6.6,0.725,0.2,7.8,0.073,29.0,0.9977,3.29,0.54,9.2,50.0
1192,7.2,0.25,0.37,2.5,0.063,11.0,0.99439,3.52,0.8,12.4,30.0
1472,7.6,0.35,0.6,2.6,0.073,23.0,0.99656,3.38,0.79,11.1,21.0
918,8.4,0.36,0.32,2.2,0.081,32.0,0.9964,3.3,0.72,11.0,47.0
683,8.1,0.78,0.23,2.6,0.059,5.0,0.997,3.37,0.56,11.3,10.0
912,10.0,0.46,0.44,2.9,0.065,4.0,0.99674,3.33,0.62,12.2,4.0
134,7.9,1.04,0.05,2.2,0.084,13.0,0.9959,3.22,0.55,9.9,16.0
133,6.6,0.5,0.01,1.5,0.06,17.0,0.9952,3.4,0.58,9.8,9.0
811,12.9,0.5,0.55,2.8,0.072,7.0,1.00012,3.09,0.68,10.9,17.0
1311,6.5,0.51,0.15,3.0,0.064,12.0,0.9929,3.33,0.59,12.8,15.0
723,7.1,0.31,0.3,2.2,0.053,36.0,0.9965,2.94,1.62,9.5,91.0
1329,7.4,0.6,0.26,2.1,0.083,17.0,0.99616,3.29,0.56,9.8,74.0
329,10.7,0.46,0.39,2.0,0.061,7.0,0.9981,3.18,0.62,9.5,8.0
53,8.6,0.38,0.36,3.0,0.081,30.0,0.997,3.2,0.56,9.4,89.0
700,10.6,1.02,0.43,2.9,0.076,26.0,0.9984,3.08,0.57,10.1,62.0
963,8.8,0.27,0.39,2.0,0.1,20.0,0.99546,3.15,0.69,11.2,7.0
394,12.7,0.6,0.65,2.3,0.063,6.0,0.9997,3.03,0.57,9.9,19.0
1597,5.9,0.645,0.12,2.0,0.075,32.0,0.99547,3.57,0.71,10.2,12.0
1280,7.1,0.46,0.2,1.9,0.077,28.0,0.9956,3.37,0.64,10.4,26.0
858,11.7,0.28,0.47,1.7,0.054,17.0,0.99686,3.15,0.67,10.6,15.0
107,6.2,0.63,0.31,1.7,0.088,15.0,0.9969,3.46,0.79,9.3,49.0
836,6.7,0.28,0.28,2.4,0.012,36.0,0.99064,3.26,0.39,11.7,64.0
1079,7.9,0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,240.5
973,8.5,0.34,0.44,1.7,0.079,6.0,0.99605,3.52,0.63,10.7,6.0
1482,7.2,0.58,0.54,2.1,0.114,3.0,0.99719,3.33,0.57,10.3,6.0
1249,7.1,0.6,0.01,2.3,0.079,24.0,0.99514,3.4,0.61,10.9,13.0
1403,7.2,0.33,0.33,1.7,0.061,3.0,0.996,3.23,1.1,10.0,10.0
1110,8.3,0.53,0.0,1.4,0.07,6.0,0.99593,3.25,0.64,10.0,8.0
803,7.7,0.56,0.08,2.5,0.114,14.0,0.9971,3.24,0.66,9.6,32.0
115,9.4,0.4,0.31,2.2,0.09,13.0,0.9966,3.07,0.63,10.5,49.0
457,9.2,0.63,0.21,2.7,0.097,29.0,0.9988,3.28,0.58,9.6,36.0
501,10.4,0.44,0.73,6.55,0.074,38.0,0.999,3.17,0.85,12.0,38.0
59,7.3,0.39,0.31,2.4,0.074,9.0,0.9962,3.41,0.54,9.4,37.0
978,7.0,0.4,0.32,3.6,0.061,9.0,0.99416,3.28,0.49,11.3,20.0
1397,7.3,0.59,0.26,2.0,0.08,17.0,0.99584,3.28,0.52,9.9,87.0
245,7.3,0.66,0.0,2.0,0.084,6.0,0.9983,3.61,0.96,9.9,17.0
1191,6.5,0.885,0.0,2.3,0.166,6.0,0.99551,3.56,0.51,10.8,6.0
652,15.9,0.36,0.65,7.5,0.096,22.0,0.9976,2.98,0.84,14.9,49.0
516,12.5,0.6,0.49,4.3,0.1,5.0,1.001,3.25,0.74,11.9,9.0
437,11.1,0.45,0.73,3.2,0.066,6.0,0.9986,3.17,0.66,11.2,16.0
674,10.8,0.4,0.41,2.2,0.084,7.0,0.9984,3.08,0.67,9.3,10.0
1128,10.0,0.43,0.33,2.7,0.095,28.0,0.9984,3.22,0.68,10.0,61.0
64,7.2,0.725,0.05,4.65,0.086,4.0,0.9962,3.41,0.39,10.9,7.0
418,11.9,0.38,0.51,2.0,0.121,7.0,0.9996,3.24,0.76,10.4,13.0
709,9.7,0.31,0.47,1.6,0.062,13.0,0.9983,3.27,0.66,10.0,20.0
189,7.9,0.49,0.32,1.9,0.082,17.0,0.9968,3.2,0.55,9.5,127.0
1170,9.2,0.36,0.34,1.6,0.062,5.0,0.99667,3.2,0.67,10.5,7.0
1572,7.3,0.69,0.32,2.2,0.069,35.0,0.99632,3.33,0.51,9.5,69.0
1207,9.9,0.72,0.55,1.7,0.136,24.0,0.99752,3.35,0.94,10.0,28.0
1494,6.4,0.31,0.09,1.4,0.066,15.0,0.99459,3.42,0.7,10.0,13.0
1455,6.5,0.9,0.0,1.6,0.052,9.0,0.99467,3.5,0.63,10.9,8.0
1509,7.9,0.18,0.4,1.8,0.062,7.0,0.9941,3.28,0.7,11.1,13.0
1109,10.8,0.47,0.43,2.1,0.171,27.0,0.9982,3.17,0.76,10.8,39.0
355,6.7,0.75,0.01,2.4,0.078,17.0,0.9955,3.55,0.61,12.8,15.0
735,7.7,0.965,0.1,2.1,0.112,11.0,0.9963,3.26,0.5,9.5,11.0
1539,7.2,0.39,0.32,1.8,0.065,34.0,0.99714,3.46,0.78,9.9,26.0
731,8.9,0.875,0.13,3.45,0.088,4.0,0.9994,3.44,0.52,11.5,10.0
507,11.2,0.67,0.55,2.3,0.084,6.0,1.0,3.17,0.71,9.5,7.0
431,7.8,0.55,0.35,2.2,0.074,21.0,0.9974,3.25,0.56,9.2,45.0
63,7.0,0.735,0.05,2.0,0.081,13.0,0.9966,3.39,0.57,9.8,41.0
37,8.1,0.38,0.28,2.1,0.066,13.0,0.9968,3.23,0.73,9.7,17.0
73,8.3,0.675,0.26,2.1,0.084,11.0,0.9976,3.31,0.53,9.2,32.0
201,8.8,0.37,0.48,2.1,0.097,39.0,0.9975,3.04,1.03,9.3,106.0
1443,6.9,0.58,0.2,1.75,0.058,8.0,0.99322,3.38,0.49,11.7,14.0
1158,6.7,0.41,0.43,2.8,0.076,22.0,0.99572,3.42,1.16,10.6,32.0
1571,6.4,0.38,0.14,2.2,0.038,15.0,0.99514,3.44,0.65,11.1,10.0
1510,6.4,0.36,0.21,2.2,0.047,26.0,0.99661,3.47,0.77,9.7,22.0
1466,7.3,0.48,0.32,2.1,0.062,31.0,0.99728,3.3,0.65,10.0,23.0
947,8.3,0.28,0.48,2.1,0.093,6.0,0.99408,3.26,0.62,12.4,6.0
1358,7.4,0.64,0.17,5.4,0.168,52.0,0.99736,3.28,0.5,9.5,46.0
655,9.7,0.55,0.17,2.9,0.087,20.0,1.0004,3.14,0.61,9.4,33.0
82,7.4,0.5,0.47,2.0,0.086,21.0,0.997,3.36,0.57,9.1,52.0
1017,8.0,0.18,0.37,0.9,0.049,36.0,0.99007,2.89,0.44,12.7,73.0
645,7.8,0.64,0.1,6.0,0.115,5.0,0.9984,3.37,0.69,10.1,6.0
524,9.2,0.43,0.49,2.4,0.086,23.0,0.9976,3.23,0.64,9.5,93.0
1324,6.7,0.46,0.24,1.7,0.077,18.0,0.9948,3.39,0.6,10.6,16.0
850,9.3,0.43,0.44,1.9,0.085,9.0,0.99708,3.28,0.55,9.5,13.0
575,12.3,0.27,0.49,3.1,0.079,28.0,0.9993,3.2,0.8,10.2,18.0
762,8.8,0.7,0.0,1.7,0.069,8.0,0.99701,3.31,0.53,10.0,11.0
525,10.4,0.64,0.24,2.8,0.105,29.0,0.9998,3.24,0.67,9.9,24.0
1165,8.5,0.44,0.5,1.9,0.369,15.0,0.99634,3.01,1.1,9.4,23.0
1302,9.1,0.37,0.32,2.1,0.064,4.0,0.99576,3.3,0.8,11.2,11.0
293,6.9,0.36,0.25,2.4,0.098,5.0,0.9964,3.41,0.6,10.1,11.0
170,7.9,0.885,0.03,1.8,0.058,4.0,0.9972,3.36,0.33,9.1,4.0
805,8.2,0.28,0.4,2.4,0.052,4.0,0.99356,3.33,0.7,12.8,6.0
1461,6.2,0.785,0.0,2.1,0.06,6.0,0.99664,3.59,0.61,10.0,7.0
7,7.3,0.65,0.0,1.2,0.065,15.0,0.9946,3.39,0.47,10.0,6.0
906,7.2,0.54,0.27,2.6,0.084,12.0,0.9964,3.39,0.71,11.0,66.0
1182,10.2,0.4,0.4,2.5,0.068,41.0,0.99754,3.38,0.86,10.5,13.0
908,7.4,0.52,0.13,2.4,0.078,34.0,0.99528,3.43,0.59,10.8,27.0
493,8.7,0.69,0.31,3.0,0.086,23.0,1.0002,3.48,0.74,11.6,58.0
1019,7.0,0.5,0.14,1.8,0.078,10.0,0.99636,3.53,0.61,10.4,13.0
610,8.8,0.24,0.54,2.5,0.083,25.0,0.9983,3.39,0.54,9.2,32.0
1104,8.0,0.48,0.34,2.2,0.073,16.0,0.9936,3.28,0.66,12.4,9.0
522,8.2,0.39,0.49,2.3,0.099,47.0,0.9979,3.38,0.99,9.8,86.0
722,7.6,0.42,0.08,2.7,0.084,15.0,0.9968,3.21,0.59,10.0,33.0
618,11.4,0.46,0.5,2.7,0.122,4.0,1.0006,3.13,0.7,10.2,13.0
1395,8.6,0.685,0.1,1.6,0.092,3.0,0.99745,3.31,0.65,9.55,9.0
828,7.8,0.57,0.09,2.3,0.065,34.0,0.99417,3.46,0.74,12.7,11.0
404,7.7,0.69,0.05,2.7,0.075,15.0,0.9974,3.26,0.61,9.1,12.0
1092,7.0,0.54,0.09,2.0,0.081,10.0,0.99479,3.43,0.59,11.5,6.0
608,10.1,0.65,0.37,5.1,0.11,11.0,1.0026,3.32,0.64,10.4,54.0
139,7.8,0.56,0.19,2.0,0.081,17.0,0.9962,3.32,0.54,9.5,91.0
1432,5.9,0.44,0.0,1.6,0.042,3.0,0.9944,3.48,0.85,11.7,8.0
812,10.8,0.45,0.33,2.5,0.099,20.0,0.99818,3.24,0.71,10.8,18.0
444,5.3,0.57,0.01,1.7,0.054,5.0,0.9934,3.57,0.84,12.5,22.0
942,10.1,0.43,0.4,2.6,0.092,13.0,0.99834,3.22,0.64,10.0,39.0
1143,7.0,0.22,0.3,1.8,0.065,16.0,0.99672,3.61,0.82,10.0,4.0
698,9.4,0.615,0.28,3.2,0.087,18.0,1.0001,3.31,0.53,9.7,54.0
1185,7.0,0.43,0.3,2.0,0.085,6.0,0.99346,3.33,0.46,11.9,33.0
1097,8.6,0.52,0.38,1.5,0.096,5.0,0.99666,3.2,0.52,9.4,13.0
628,8.7,0.54,0.26,2.5,0.097,7.0,0.9976,3.27,0.6,9.3,24.0
1195,6.2,0.43,0.22,1.8,0.078,21.0,0.99633,3.52,0.6,9.5,35.0
727,6.4,0.57,0.02,1.8,0.067,4.0,0.997,3.46,0.68,9.5,7.0
69,8.0,0.705,0.05,1.9,0.074,8.0,0.9962,3.34,0.95,10.5,11.0
944,8.3,0.3,0.49,3.8,0.09,11.0,0.99498,3.27,0.64,12.1,13.0
1554,6.6,0.855,0.02,2.4,0.062,15.0,0.99627,3.54,0.6,11.0,8.0
956,9.0,0.36,0.52,2.1,0.111,5.0,0.99568,3.31,0.62,11.3,5.0
1225,9.2,0.46,0.23,2.6,0.091,18.0,0.99922,3.15,0.51,9.4,59.0
1177,7.1,0.66,0.0,2.4,0.052,6.0,0.99318,3.35,0.66,12.7,5.0
467,8.8,0.46,0.45,2.6,0.065,7.0,0.9947,3.32,0.79,14.0,11.0
448,8.6,0.53,0.22,2.0,0.1,7.0,0.9967,3.2,0.56,10.2,20.0
1473,6.1,0.6,0.08,1.8,0.071,14.0,0.99336,3.38,0.54,11.0,31.0
117,7.8,0.56,0.12,2.0,0.082,7.0,0.997,3.37,0.5,9.4,21.0
1282,7.9,0.765,0.0,2.0,0.084,9.0,0.99619,3.33,0.68,10.9,13.0
1279,9.8,0.3,0.39,1.7,0.062,3.0,0.9948,3.14,0.57,11.5,6.0
1041,6.9,0.49,0.19,1.7,0.079,13.0,0.99547,3.38,0.64,9.8,13.0
198,5.4,0.835,0.08,1.2,0.046,13.0,0.9924,3.57,0.85,13.0,80.0
281,7.7,0.27,0.68,3.5,0.358,5.0,0.9972,3.25,1.08,9.9,5.0
1357,7.3,0.43,0.24,2.5,0.078,27.0,0.99648,3.6,0.59,11.1,40.0
1470,10.0,0.69,0.11,1.4,0.084,8.0,0.99578,2.88,0.47,9.7,16.0
1391,8.0,0.64,0.22,2.4,0.094,5.0,0.99612,3.37,0.58,11.0,28.0
931,7.4,0.61,0.01,2.0,0.074,13.0,0.99748,3.48,0.65,9.8,25.0
585,7.6,0.51,0.24,2.4,0.091,8.0,0.998,3.47,0.66,9.6,30.0
607,8.8,0.48,0.41,3.3,0.092,26.0,0.9982,3.31,0.53,10.5,26.0
1053,8.3,0.33,0.42,2.3,0.07,9.0,0.99426,3.38,0.77,12.7,11.0
1306,9.7,0.69,0.32,2.5,0.088,22.0,0.9979,3.29,0.62,10.1,69.0
965,8.3,0.34,0.4,2.4,0.065,24.0,0.99554,3.34,0.86,11.0,24.0
1145,8.2,0.2,0.43,2.5,0.076,31.0,0.99672,3.53,0.81,10.4,20.0
106,7.8,0.41,0.68,1.7,0.467,18.0,0.9973,3.08,1.31,9.3,51.0
1239,6.5,0.67,0.0,4.3,0.057,11.0,0.99488,3.45,0.56,11.8,9.0
849,6.4,0.63,0.21,1.6,0.08,12.0,0.99689,3.58,0.66,9.8,20.0
287,7.5,0.4,0.12,3.0,0.092,29.0,0.9967,3.37,0.7,10.3,24.0
10,6.7,0.58,0.08,1.8,0.097,15.0,0.9959,3.28,0.54,9.2,50.0
203,7.0,0.42,0.35,1.6,0.088,16.0,0.9961,3.34,0.55,9.2,23.0
681,8.0,0.45,0.23,2.2,0.094,16.0,0.9962,3.21,0.49,10.2,13.0
905,9.2,0.58,0.2,3.0,0.081,15.0,0.998,3.23,0.59,9.5,100.0
970,10.4,0.26,0.48,1.9,0.066,6.0,0.99724,3.33,0.87,10.9,4.0
1146,7.8,0.5,0.12,1.8,0.178,6.0,0.996,3.28,0.87,9.8,15.0
1066,6.6,0.52,0.08,2.4,0.07,13.0,0.99358,3.4,0.72,12.5,13.0
999,6.4,0.69,0.0,1.65,0.055,7.0,0.99162,3.47,0.53,12.9,5.0
455,11.3,0.62,0.67,5.2,0.086,6.0,0.9988,3.22,0.69,13.4,13.0
288,8.7,0.52,0.09,2.5,0.091,20.0,0.9976,3.34,0.86,10.6,29.0
1531,6.1,0.705,0.1,2.8,0.081,13.0,0.99631,3.6,0.66,10.2,15.0
1535,7.0,0.55,0.13,2.2,0.075,15.0,0.9959,3.36,0.59,9.7,20.0
381,13.7,0.415,0.68,2.9,0.085,17.0,1.0014,3.06,0.8,10.0,26.0
1234,7.1,0.75,0.01,2.2,0.059,11.0,0.99242,3.39,0.4,12.8,7.0
1179,8.2,0.35,0.33,2.4,0.076,11.0,0.99599,3.27,0.81,11.0,36.0
1189,8.8,0.955,0.05,1.8,0.075,5.0,0.99616,3.3,0.44,9.6,14.0
1497,6.9,0.74,0.03,2.3,0.054,7.0,0.99508,3.45,0.63,11.5,9.0
979,12.2,0.45,0.49,1.4,0.075,3.0,0.9969,3.13,0.63,10.4,3.0
810,7.3,0.49,0.1,2.6,0.068,4.0,0.99562,3.3,0.47,10.5,10.0
534,10.0,0.48,0.24,2.7,0.102,13.0,1.0,3.28,0.56,10.0,19.0
39,7.3,0.45,0.36,5.9,0.074,12.0,0.9978,3.33,0.83,10.5,75.0
840,11.1,0.42,0.47,2.65,0.085,9.0,0.99736,3.24,0.77,12.1,25.0
103,8.1,0.575,0.22,2.1,0.077,12.0,0.9967,3.29,0.51,9.2,53.0
1235,6.0,0.33,0.32,12.9,0.054,6.0,0.99572,3.3,0.56,11.5,107.0
1272,5.9,0.46,0.0,1.9,0.077,25.0,0.99385,3.5,0.53,11.2,19.0
1147,10.0,0.41,0.45,6.2,0.071,6.0,0.99702,3.21,0.49,11.8,8.0
1242,9.0,0.4,0.41,2.0,0.058,15.0,0.99414,3.22,0.6,12.2,25.0
968,9.0,0.4,0.43,2.4,0.068,29.0,0.9943,3.2,0.6,12.2,17.0
634,7.9,0.35,0.21,1.9,0.073,46.0,0.9964,3.27,0.58,9.5,56.0
318,9.8,0.66,0.39,3.2,0.083,21.0,0.9989,3.37,0.71,11.5,38.0
474,10.5,0.28,0.51,1.7,0.08,10.0,0.9982,3.2,0.89,9.4,14.0
440,12.6,0.31,0.72,2.2,0.072,6.0,0.9987,2.88,0.82,9.8,23.0
1451,7.8,0.32,0.44,2.7,0.104,8.0,0.99732,3.33,0.78,11.0,9.0
466,10.3,0.5,0.42,2.0,0.069,21.0,0.9982,3.16,0.72,11.5,30.0
1313,7.0,0.36,0.21,2.3,0.086,20.0,0.99558,3.4,0.54,10.1,45.0
1037,7.3,0.91,0.1,1.8,0.074,20.0,0.99672,3.35,0.56,9.2,36.0
825,7.1,0.46,0.14,2.8,0.076,15.0,0.99624,3.36,0.49,10.7,22.0
1361,8.3,0.85,0.14,2.5,0.093,13.0,0.99724,3.36,0.54,10.1,41.0
830,7.5,0.685,0.07,2.5,0.058,5.0,0.99632,3.38,0.55,10.9,4.0
393,8.4,0.665,0.61,2.0,0.112,13.0,0.997,3.16,0.54,9.1,82.0
1388,6.6,0.64,0.31,6.1,0.083,7.0,0.99718,3.35,0.68,10.3,42.0
96,6.8,0.775,0.0,3.0,0.102,8.0,0.9965,3.45,0.56,10.7,15.0
1026,7.9,0.31,0.32,1.9,0.066,14.0,0.99364,3.41,0.56,12.6,22.0
1559,7.8,0.6,0.26,2.0,0.08,31.0,0.99622,3.21,0.52,9.9,100.0
309,7.4,0.29,0.38,1.7,0.062,9.0,0.9968,3.41,0.53,9.5,21.0
621,8.2,0.56,0.23,3.4,0.078,14.0,0.9976,3.28,0.62,9.4,90.0
1233,10.2,0.23,0.37,2.2,0.057,14.0,0.99614,3.23,0.49,9.3,22.0
1114,5.0,0.4,0.5,4.3,0.046,29.0,0.9902,3.49,0.66,13.6,51.0
900,8.9,0.31,0.36,2.6,0.056,10.0,0.99562,3.4,0.69,11.8,29.0
