,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
151,9.2,0.52,1.0,3.4,0.61,32.0,0.9996,2.74,2.0,9.4,37.0
1087,7.9,0.19,0.42,1.6,0.057,18.0,0.994,3.29,0.69,11.2,12.0
1305,7.5,0.61,0.26,1.9,0.073,24.0,0.99612,3.3,0.53,9.8,64.0
1595,5.9,0.55,0.1,2.2,0.062,39.0,0.99512,3.52,0.76,11.2,12.0
199,6.9,1.09,0.06,2.1,0.061,12.0,0.9948,3.51,0.43,11.4,19.0
1264,8.5,0.37,0.32,1.8,0.066,26.0,0.99456,3.38,0.72,11.8,25.0
1512,6.4,0.79,0.04,2.2,0.061,11.0,0.99588,3.53,0.65,10.4,6.0
125,9.0,0.62,0.04,1.9,0.146,27.0,0.9984,3.16,0.7,9.4,63.0
1219,9.0,0.39,0.4,1.3,0.044,25.0,0.99478,3.2,0.83,10.9,25.0
1433,6.1,0.4,0.16,1.8,0.069,11.0,0.9955,3.42,0.74,10.1,14.0
268,6.9,0.54,0.04,3.0,0.077,7.0,0.9987,3.69,0.91,9.4,20.0
953,10.2,0.34,0.48,2.1,0.052,5.0,0.99458,3.2,0.69,12.1,4.0
1100,8.4,0.34,0.42,2.1,0.072,23.0,0.99392,3.11,0.78,12.4,13.0
403,11.4,0.6,0.49,2.7,0.085,10.0,0.9994,3.15,0.63,10.5,31.0
1549,7.4,0.36,0.3,1.8,0.074,17.0,0.99419,3.24,0.7,11.4,7.0
503,10.5,0.26,0.47,1.9,0.078,6.0,0.9976,3.18,1.04,10.9,18.0
345,7.0,0.685,0.0,1.9,0.067,40.0,0.9979,3.6,0.81,9.9,23.0
322,7.8,0.62,0.05,2.3,0.079,6.0,0.99735,3.29,0.63,9.3,12.0
1290,7.6,0.74,0.0,1.9,0.1,6.0,0.99521,3.36,0.59,11.0,6.0
1448,6.9,0.58,0.01,1.9,0.08,40.0,0.99683,3.4,0.73,9.7,14.0
796,8.7,0.46,0.31,2.5,0.126,24.0,0.99746,3.1,0.74,9.6,40.0
1471,6.7,0.7,0.08,3.75,0.067,8.0,0.99334,3.43,0.52,12.6,8.0
1399,7.2,0.67,0.0,2.2,0.068,10.0,0.9956,3.42,0.72,11.1,14.0
726,8.1,0.72,0.09,2.8,0.084,18.0,0.9994,3.43,0.72,11.1,31.0
349,9.1,0.785,0.0,2.6,0.093,11.0,0.9994,3.36,0.86,9.4,17.0
1217,8.2,0.34,0.37,1.9,0.057,43.0,0.99408,3.23,0.81,12.0,31.0
764,9.1,0.68,0.11,2.8,0.093,11.0,0.99888,3.31,0.55,9.5,33.0
423,10.5,0.24,0.47,2.1,0.066,6.0,0.9978,3.15,0.9,11.0,18.0
167,7.3,0.55,0.03,1.6,0.072,17.0,0.9956,3.37,0.48,9.0,25.0
919,8.4,0.62,0.12,1.8,0.072,38.0,0.99504,3.38,0.89,11.8,8.0
1246,7.4,0.74,0.07,1.7,0.086,15.0,0.99502,3.12,0.48,10.0,33.0
406,9.8,0.44,0.47,2.5,0.063,9.0,0.9981,3.24,0.65,10.8,19.0
1108,8.1,0.78,0.1,3.3,0.09,4.0,0.99855,3.36,0.49,9.5,9.0
1230,7.7,0.18,0.34,2.7,0.066,15.0,0.9947,3.37,0.78,11.8,43.0
365,10.0,0.42,0.5,3.4,0.107,7.0,0.9979,3.26,0.93,11.8,14.0
1376,8.2,0.885,0.2,1.4,0.086,7.0,0.9946,3.11,0.46,10.0,24.0
242,7.7,0.58,0.1,1.8,0.102,28.0,0.99565,3.08,0.49,9.8,81.0
873,9.1,0.21,0.37,1.6,0.067,6.0,0.99552,3.23,0.58,11.1,4.0
213,8.2,0.57,0.26,2.2,0.06,28.0,0.9959,3.3,0.43,10.1,37.0
595,8.9,0.595,0.41,7.9,0.086,30.0,0.9998,3.27,0.57,9.3,79.0
1463,6.9,0.63,0.01,2.4,0.076,14.0,0.99522,3.34,0.53,10.8,25.0
1291,8.2,0.635,0.1,2.1,0.073,25.0,0.99638,3.29,0.75,10.9,35.0
1086,8.5,0.34,0.4,4.7,0.055,3.0,0.99738,3.38,0.66,11.6,6.0
675,9.3,0.41,0.39,2.2,0.064,12.0,0.9984,3.26,0.65,10.2,19.0
891,7.2,0.66,0.03,2.3,0.078,16.0,0.99743,3.53,0.57,9.7,70.0
800,7.2,0.61,0.08,4.0,0.082,26.0,0.99641,3.25,0.51,9.4,82.0
1215,8.8,0.27,0.46,2.1,0.095,20.0,0.99488,3.26,0.56,11.3,9.0
1493,7.7,0.54,0.26,1.9,0.089,23.0,0.99636,3.26,0.59,9.7,124.0
47,8.7,0.29,0.52,1.6,0.113,12.0,0.9969,3.25,0.58,9.5,25.0
1123,10.7,0.4,0.37,1.9,0.081,17.0,0.99674,3.12,0.65,11.2,12.0
351,9.1,0.795,0.0,2.6,0.096,11.0,0.9994,3.35,0.83,9.4,15.0
1415,6.2,0.58,0.0,1.6,0.065,8.0,0.9966,3.56,0.84,9.4,10.0
835,7.6,0.665,0.1,1.5,0.066,27.0,0.99655,3.39,0.51,9.3,28.0
1014,8.0,0.58,0.16,2.0,0.12,3.0,0.99454,3.22,0.58,11.2,4.0
795,10.8,0.89,0.3,2.6,0.132,7.0,0.99786,2.99,1.18,10.2,53.0
880,9.2,0.56,0.18,1.6,0.078,10.0,0.99576,3.15,0.49,9.9,11.0
214,7.8,0.735,0.08,2.4,0.092,10.0,0.9974,3.24,0.71,9.8,31.0
81,7.8,0.43,0.7,1.9,0.464,22.0,0.9974,3.13,1.28,9.4,45.0
519,7.3,0.365,0.49,2.5,0.088,39.0,0.9966,3.36,0.78,11.0,67.0
396,6.6,0.735,0.02,7.9,0.122,68.0,0.9994,3.47,0.53,9.9,56.0
155,7.1,0.43,0.42,5.5,0.071,28.0,0.9973,3.42,0.71,10.5,100.0
520,9.8,0.25,0.49,2.7,0.088,15.0,0.9982,3.42,0.9,10.0,18.0
952,8.2,0.31,0.4,2.2,0.058,6.0,0.99536,3.31,0.68,11.2,4.0
853,9.3,0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,14.0
924,8.6,0.47,0.27,2.3,0.055,14.0,0.99516,3.18,0.8,11.2,14.0
867,6.9,0.51,0.23,2.0,0.072,13.0,0.99438,3.4,0.84,11.2,9.0
773,7.9,0.4,0.29,1.8,0.157,1.0,0.9973,3.3,0.92,9.5,43.0
658,7.2,0.52,0.07,1.4,0.074,5.0,0.9973,3.32,0.81,9.6,15.0
509,13.3,0.29,0.75,2.8,0.084,23.0,0.9986,3.04,0.68,11.4,20.0
92,8.6,0.49,0.29,2.0,0.11,19.0,0.9972,2.93,1.98,9.8,114.0
45,4.6,0.52,0.15,2.1,0.054,8.0,0.9934,3.9,0.56,13.1,57.0
56,10.2,0.42,0.57,3.4,0.07,4.0,0.9971,3.04,0.63,9.6,6.0
421,6.6,0.84,0.03,2.3,0.059,32.0,0.9952,3.52,0.56,12.3,16.0
684,9.8,0.98,0.32,2.3,0.078,35.0,0.998,3.25,0.48,9.4,117.0
1073,8.0,0.62,0.33,2.7,0.088,16.0,0.9972,3.31,0.58,10.7,21.0
149,8.2,0.4,0.44,2.8,0.089,11.0,0.9975,3.53,0.61,10.5,32.0
80,6.2,0.45,0.2,1.6,0.069,3.0,0.9958,3.41,0.56,9.2,12.0
845,6.4,0.64,0.21,1.8,0.081,14.0,0.99689,3.59,0.66,9.8,17.0
1579,6.2,0.56,0.09,1.7,0.053,24.0,0.99402,3.54,0.6,11.3,8.0
1000,7.5,0.43,0.3,2.2,0.062,6.0,0.99495,3.44,0.72,11.5,6.0
929,8.7,0.33,0.38,3.3,0.063,10.0,0.99468,3.3,0.73,12.0,9.0
969,6.7,0.56,0.09,2.9,0.079,7.0,0.99669,3.46,0.61,10.2,15.0
43,8.1,0.66,0.22,2.2,0.069,9.0,0.9968,3.3,1.2,10.3,14.0
732,7.3,0.835,0.03,2.1,0.092,10.0,0.9966,3.39,0.47,9.6,9.0
1284,7.0,0.42,0.19,2.3,0.071,18.0,0.99476,3.39,0.56,10.9,18.0
562,9.0,0.54,0.49,2.9,0.094,41.0,0.9982,3.08,0.61,9.2,69.0
894,7.2,0.63,0.03,2.2,0.08,17.0,0.99745,3.53,0.58,9.8,71.0
332,8.0,0.58,0.28,3.2,0.066,21.0,0.9973,3.22,0.54,9.4,93.0
672,9.8,1.24,0.34,2.0,0.079,32.0,0.998,3.15,0.53,9.5,119.0
1301,6.7,0.86,0.07,2.0,0.1,20.0,0.99598,3.6,0.74,11.7,37.0
1439,7.3,0.67,0.02,2.2,0.072,31.0,0.99566,3.32,0.68,11.06666667,61.0
1575,7.5,0.52,0.4,2.2,0.06,12.0,0.99474,3.26,0.64,11.8,8.0
1275,8.0,0.715,0.22,2.3,0.075,13.0,0.99688,3.24,0.54,9.5,68.0
580,12.3,0.5,0.49,2.2,0.089,5.0,1.0002,3.19,0.44,9.6,9.0
14,8.9,0.62,0.18,3.8,0.176,52.0,0.9986,3.16,0.88,9.2,93.0
1408,8.1,0.29,0.36,2.2,0.048,35.0,0.995,3.27,1.01,12.4,18.0
910,9.3,0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,8.0
1293,7.5,0.755,0.0,1.9,0.084,6.0,0.99672,3.34,0.49,9.7,6.0
137,7.2,0.415,0.36,2.0,0.081,13.0,0.9972,3.48,0.64,9.2,32.0
940,9.6,0.33,0.52,2.2,0.074,13.0,0.99509,3.36,0.76,12.4,12.0
1483,8.1,0.33,0.44,1.5,0.042,6.0,0.99542,3.35,0.61,10.7,6.0
385,7.4,0.63,0.07,2.4,0.09,11.0,0.9979,3.43,0.76,9.7,26.0
572,10.2,0.24,0.49,2.4,0.075,10.0,0.9978,3.14,0.61,10.4,18.0
426,6.4,0.67,0.08,2.1,0.045,19.0,0.9949,3.49,0.49,11.4,29.0
62,7.5,0.52,0.16,1.9,0.085,12.0,0.9968,3.38,0.62,9.5,23.0
1060,11.6,0.23,0.57,1.8,0.074,3.0,0.9981,3.14,0.7,9.9,5.0
55,7.7,0.62,0.04,3.8,0.084,25.0,0.9978,3.34,0.53,9.5,20.0
1065,7.7,0.61,0.18,2.4,0.083,6.0,0.9963,3.29,0.6,10.2,14.0
545,9.1,0.47,0.49,2.6,0.094,38.0,0.9982,3.08,0.59,9.1,68.0
1297,7.2,0.53,0.14,2.1,0.064,15.0,0.99323,3.35,0.61,12.1,14.0
552,9.5,0.46,0.24,2.7,0.092,14.0,0.998,3.12,0.74,10.0,30.0
715,7.2,0.49,0.18,2.7,0.069,13.0,0.9967,3.29,0.48,9.2,21.0
127,8.1,1.33,0.0,1.8,0.082,3.0,0.9964,3.54,0.48,10.9,9.0
344,11.9,0.57,0.5,2.6,0.082,6.0,1.0006,3.12,0.78,10.7,26.0
1580,7.4,0.35,0.33,2.4,0.068,9.0,0.9947,3.36,0.6,11.9,17.0
145,8.1,0.67,0.55,1.8,0.117,32.0,0.9968,3.17,0.62,9.4,109.0
1334,7.2,0.835,0.0,2.0,0.166,4.0,0.99608,3.39,0.52,10.0,7.0
22,7.9,0.43,0.21,1.6,0.106,10.0,0.9966,3.17,0.91,9.5,27.0
1555,7.0,0.56,0.17,1.7,0.065,15.0,0.99514,3.44,0.68,10.55,9.0
1292,5.9,0.395,0.13,2.4,0.056,14.0,0.99362,3.62,0.67,12.4,14.0
888,6.8,0.57,0.0,2.5,0.072,32.0,0.99491,3.43,0.56,11.2,32.0
483,10.6,0.36,0.6,2.2,0.152,7.0,0.9986,3.04,1.06,9.4,11.0
954,7.6,0.43,0.4,2.7,0.082,6.0,0.99538,3.44,0.54,12.2,5.0
1255,6.1,0.64,0.02,2.4,0.069,26.0,0.99358,3.47,0.45,11.0,20.0
1028,7.2,0.34,0.21,2.5,0.075,41.0,0.99586,3.37,0.54,10.1,27.0
1367,6.9,0.54,0.3,2.2,0.088,9.0,0.99725,3.25,1.18,10.5,96.0
743,11.6,0.41,0.58,2.8,0.096,25.0,1.00024,3.13,0.53,10.0,76.0
1385,8.0,0.81,0.25,3.4,0.076,34.0,0.99668,3.19,0.42,9.2,51.0
626,8.8,0.6,0.29,2.2,0.098,5.0,0.9988,3.36,0.49,9.1,10.0
1574,5.6,0.31,0.78,13.9,0.074,23.0,0.99677,3.39,0.48,10.5,69.0
738,9.0,0.46,0.23,2.8,0.092,28.0,0.9983,3.1,0.56,9.2,76.0
337,7.8,0.43,0.32,2.8,0.08,29.0,0.9974,3.31,0.64,10.3,29.0
541,9.5,0.46,0.49,6.3,0.064,5.0,0.9988,3.21,0.73,11.0,12.0
219,7.8,0.53,0.33,2.4,0.08,24.0,0.99655,3.3,0.6,9.5,120.0
695,5.1,0.47,0.02,1.3,0.034,18.0,0.9921,3.9,0.62,12.8,26.0
1222,8.1,0.53,0.22,2.2,0.078,33.0,0.99678,3.26,0.46,9.6,56.0
67,6.6,0.705,0.07,1.6,0.076,6.0,0.9962,3.44,0.58,10.7,9.0
584,11.8,0.33,0.49,3.4,0.093,54.0,1.0002,3.3,0.76,10.7,26.0
1300,5.2,0.645,0.0,2.15,0.08,15.0,0.99444,3.78,0.61,12.5,13.0
938,7.2,0.38,0.38,2.8,0.068,23.0,0.99356,3.34,0.72,12.9,19.0
1354,7.2,0.58,0.03,2.3,0.077,7.0,0.99568,3.35,0.52,10.0,21.0
234,8.2,1.0,0.09,2.3,0.065,7.0,0.99685,3.32,0.55,9.0,30.0
230,5.2,0.48,0.04,1.6,0.054,19.0,0.9927,3.54,0.62,12.2,87.0
707,7.4,0.49,0.19,3.0,0.077,16.0,0.9966,3.37,0.51,10.5,21.0
1139,8.2,0.51,0.24,2.0,0.079,16.0,0.99764,3.34,0.64,9.5,70.0
1588,7.2,0.66,0.33,2.5,0.068,34.0,0.99414,3.27,0.78,12.8,68.0
780,7.0,0.57,0.0,2.0,0.19,12.0,0.99676,3.31,0.6,9.4,33.0
1444,7.3,0.67,0.02,2.2,0.072,31.0,0.99566,3.32,0.68,11.1,61.0
346,6.6,0.815,0.02,2.7,0.072,17.0,0.9955,3.58,0.89,12.3,17.0
321,9.3,0.61,0.26,3.4,0.09,25.0,0.99975,3.24,0.62,9.7,62.0
1404,8.0,0.5,0.39,2.6,0.082,12.0,0.9985,3.43,0.62,10.7,34.0
191,6.4,0.37,0.25,1.9,0.074,21.0,0.9974,3.57,0.62,9.8,28.0
1181,9.8,0.39,0.43,1.65,0.068,5.0,0.99478,3.19,0.46,11.4,6.0
1374,6.8,0.815,0.0,1.2,0.267,16.0,0.99471,3.32,0.51,9.8,13.0
1214,10.2,0.33,0.46,1.9,0.081,6.0,0.99628,3.1,0.48,10.4,3.0
667,11.3,0.34,0.45,2.0,0.082,6.0,0.9988,2.94,0.66,9.2,9.0
336,8.9,0.43,0.45,1.9,0.052,6.0,0.9948,3.35,0.7,12.5,10.0
384,7.7,0.51,0.28,2.1,0.087,23.0,0.998,3.42,0.74,9.2,31.0
1015,10.5,0.39,0.46,2.2,0.075,14.0,0.99598,3.06,0.84,11.4,13.0
809,7.6,0.48,0.31,2.8,0.07,4.0,0.99693,3.22,0.55,10.3,11.0
875,8.8,0.31,0.4,2.8,0.109,7.0,0.99614,3.31,0.79,11.8,9.0
280,11.4,0.26,0.44,3.6,0.071,6.0,0.9986,3.12,0.82,9.3,13.0
1245,7.4,0.55,0.19,1.8,0.082,15.0,0.99655,3.49,0.68,10.5,19.0
508,10.0,0.59,0.31,2.2,0.09,26.0,0.9994,3.18,0.63,10.2,36.0
515,8.5,0.655,0.49,6.1,0.122,34.0,1.001,3.31,1.14,9.3,117.0
357,10.5,0.42,0.66,2.95,0.116,12.0,0.997,3.24,0.75,11.7,17.0
518,10.9,0.21,0.49,2.8,0.088,11.0,0.9972,3.22,0.68,11.7,21.0
57,7.5,0.63,0.12,5.1,0.111,50.0,0.9983,3.26,0.77,9.4,60.0
578,8.8,0.47,0.49,2.9,0.085,17.0,0.9982,3.29,0.6,9.8,93.0
945,10.2,0.44,0.42,2.0,0.071,7.0,0.99566,3.14,0.79,11.1,13.0
602,7.7,0.835,0.0,2.6,0.081,6.0,0.9975,3.3,0.52,9.3,8.0
1505,6.7,0.76,0.02,1.8,0.078,6.0,0.996,3.55,0.63,9.95,6.0
218,7.5,0.49,0.19,1.9,0.076,10.0,0.9957,3.39,0.54,9.7,34.0
411,9.1,0.45,0.35,2.4,0.08,23.0,0.9987,3.38,0.62,9.5,55.0
1025,8.6,0.83,0.0,2.8,0.095,17.0,0.99822,3.33,0.6,10.4,26.0
587,7.3,0.73,0.24,1.9,0.108,18.0,0.9967,3.26,0.59,9.3,84.0
348,9.6,0.56,0.31,2.8,0.089,15.0,0.9979,3.11,0.92,10.0,31.0
1030,7.1,0.59,0.0,2.1,0.091,9.0,0.99488,3.42,0.55,11.5,5.0
713,8.0,0.43,0.36,2.3,0.075,10.0,0.9976,3.34,0.46,9.4,38.0
1389,6.7,0.48,0.02,2.2,0.08,36.0,0.99524,3.1,0.53,9.7,75.0
870,7.7,0.715,0.01,2.1,0.064,31.0,0.99371,3.41,0.57,11.8,12.0
589,10.2,0.29,0.49,2.6,0.059,5.0,0.9976,3.05,0.74,10.5,8.0
635,8.7,0.84,0.0,1.4,0.065,24.0,0.9954,3.27,0.55,9.7,9.0
756,6.3,0.98,0.01,2.0,0.057,15.0,0.99488,3.6,0.46,11.2,18.0
1273,7.5,0.58,0.2,2.0,0.073,34.0,0.99494,3.1,0.43,9.3,10.0
1431,7.6,0.43,0.31,2.1,0.069,13.0,0.9958,3.26,0.54,9.9,61.0
1253,7.9,0.66,0.0,1.4,0.096,6.0,0.99569,3.43,0.58,9.5,7.0
25,6.3,0.39,0.16,1.4,0.08,11.0,0.9955,3.34,0.56,9.3,12.0
775,7.2,1.0,0.0,3.0,0.102,7.0,0.99586,3.43,0.46,10.0,9.0
1032,8.1,0.82,0.0,4.1,0.095,5.0,0.99854,3.36,0.53,9.6,9.0
1001,9.9,0.35,0.38,1.5,0.058,31.0,0.99676,3.26,0.82,10.6,16.0
985,7.4,0.58,0.0,2.0,0.064,7.0,0.99562,3.45,0.58,11.3,4.0
1558,6.9,0.63,0.33,6.7,0.235,66.0,0.99787,3.22,0.56,9.5,49.0
1024,7.7,0.58,0.01,1.8,0.088,12.0,0.99568,3.32,0.56,10.5,6.0
1178,5.6,0.915,0.0,2.1,0.041,17.0,0.99346,3.68,0.73,11.4,61.0
1262,9.8,0.45,0.38,2.5,0.081,34.0,0.99726,3.15,0.58,9.8,32.0
38,5.7,1.13,0.09,1.5,0.172,7.0,0.994,3.5,0.48,9.8,12.0
1533,8.0,0.39,0.3,1.9,0.074,32.0,0.99717,3.39,0.61,9.0,52.0
1299,7.6,1.58,0.0,2.1,0.137,5.0,0.99476,3.5,0.4,10.9,4.0
479,9.4,0.685,0.11,2.7,0.077,6.0,0.9984,3.19,0.7,10.1,25.0
190,8.2,0.5,0.35,2.9,0.077,21.0,0.9976,3.23,0.62,9.4,106.0
101,7.8,0.5,0.3,1.9,0.075,8.0,0.9959,3.31,0.56,10.4,14.0
1365,7.8,0.5,0.09,2.2,0.115,10.0,0.9971,3.18,0.62,9.5,32.0
1149,10.0,0.35,0.47,2.0,0.061,6.0,0.99585,3.23,0.52,12.0,5.0
94,5.0,1.02,0.04,1.4,0.045,41.0,0.9938,3.75,0.48,10.5,44.0
183,6.8,0.61,0.2,1.8,0.077,11.0,0.9971,3.54,0.58,9.3,54.0
1352,7.6,0.645,0.03,1.9,0.086,14.0,0.9969,3.37,0.46,10.3,43.0
671,8.2,0.73,0.21,1.7,0.074,5.0,0.9968,3.2,0.52,9.5,8.0
272,10.9,0.37,0.58,4.0,0.071,17.0,0.99935,3.22,0.78,10.1,48.0
407,12.0,0.39,0.66,3.0,0.093,12.0,0.9996,3.18,0.63,10.8,18.0
84,6.3,0.3,0.48,1.8,0.069,18.0,0.9959,3.44,0.78,10.3,43.0
150,7.3,0.33,0.47,2.1,0.077,5.0,0.9958,3.33,0.53,10.3,6.0
967,8.5,0.66,0.2,2.1,0.097,23.0,0.99733,3.13,0.48,9.2,90.0
1133,7.2,0.48,0.07,5.5,0.089,10.0,0.99684,3.37,0.68,11.2,8.0
771,9.4,0.685,0.26,2.4,0.082,23.0,0.9978,3.28,0.55,9.4,120.0
1140,7.3,0.4,0.3,1.7,0.08,33.0,0.9969,3.41,0.65,9.5,46.0
1315,7.5,0.63,0.27,2.0,0.083,17.0,0.99616,3.26,0.58,9.8,74.0
282,7.6,0.52,0.12,3.0,0.067,12.0,0.9971,3.36,0.57,9.1,41.0
356,11.5,0.41,0.52,3.0,0.08,29.0,1.0001,3.26,0.88,11.0,26.0
1525,6.7,0.48,0.08,2.1,0.064,18.0,0.99552,3.33,0.64,9.7,16.0
436,8.0,0.67,0.3,2.0,0.06,38.0,0.9958,3.26,0.56,10.2,24.0
1012,7.7,1.005,0.15,2.1,0.102,11.0,0.99604,3.23,0.48,10.0,21.0
975,7.2,0.41,0.3,2.1,0.083,35.0,0.997,3.44,0.52,9.4,37.0
442,15.6,0.685,0.76,3.7,0.1,6.0,1.0032,2.95,0.68,11.2,37.0
71,7.7,0.67,0.23,2.1,0.088,17.0,0.9962,3.32,0.48,9.5,79.0
1590,6.3,0.55,0.15,1.8,0.077,26.0,0.99314,3.32,0.82,11.6,9.0
397,11.5,0.59,0.59,2.6,0.087,13.0,0.9988,3.18,0.65,11.0,36.0
116,8.3,0.54,0.28,1.9,0.077,11.0,0.9978,3.39,0.61,10.0,29.0
739,9.0,0.69,0.0,2.4,0.088,19.0,0.999,3.35,0.6,9.3,19.0
1547,6.3,0.6,0.1,1.6,0.048,12.0,0.99306,3.55,0.51,12.1,14.0
1333,9.1,0.775,0.22,2.2,0.079,12.0,0.9976,3.18,0.51,9.6,36.0
895,7.1,0.59,0.01,2.3,0.08,27.0,0.9955,3.42,0.58,10.7,16.0
1524,6.0,0.42,0.19,2.0,0.075,22.0,0.99522,3.39,0.78,10.0,25.0
472,12.5,0.37,0.55,2.6,0.083,25.0,0.9995,3.15,0.82,10.4,43.0
471,9.6,0.54,0.42,2.4,0.081,25.0,0.997,3.2,0.71,11.4,27.0
781,6.5,0.46,0.14,2.4,0.114,9.0,0.99732,3.66,0.65,9.8,28.0
1322,9.1,0.34,0.42,1.8,0.058,9.0,0.99392,3.18,0.55,11.4,9.0
798,9.4,0.5,0.34,3.6,0.082,5.0,0.9987,3.29,0.52,10.7,9.0
1075,9.1,0.25,0.34,2.0,0.071,45.0,0.99769,3.44,0.86,10.2,22.0
1489,6.2,0.57,0.1,2.1,0.048,4.0,0.99448,3.44,0.76,10.8,7.0
193,7.6,0.55,0.21,2.2,0.071,7.0,0.9964,3.28,0.55,9.7,21.0
417,7.0,0.58,0.12,1.9,0.091,34.0,0.9956,3.44,0.48,10.5,90.0
358,11.9,0.43,0.66,3.1,0.109,10.0,1.0,3.15,0.85,10.4,13.0
691,9.2,0.92,0.24,2.6,0.087,12.0,0.9998,3.48,0.54,9.8,81.0
1095,9.4,0.4,0.47,2.5,0.087,6.0,0.99772,3.15,0.5,10.5,14.0
253,7.7,0.775,0.42,1.9,0.092,8.0,0.9959,3.23,0.59,9.5,78.0
517,10.4,0.61,0.49,2.1,0.2,5.0,0.9994,3.16,0.63,8.4,11.0
833,11.6,0.47,0.44,1.6,0.147,36.0,0.99836,3.38,0.86,9.9,15.0
484,10.6,0.44,0.68,4.1,0.114,6.0,0.997,3.06,0.66,13.4,18.0
1536,6.1,0.53,0.08,1.9,0.077,24.0,0.99528,3.6,0.68,10.3,21.0
521,7.6,0.41,0.49,2.0,0.088,16.0,0.998,3.48,0.64,9.1,27.0
482,10.6,0.36,0.59,2.2,0.152,6.0,0.9986,3.04,1.05,9.4,12.0
146,5.8,0.68,0.02,1.8,0.087,21.0,0.9944,3.54,0.52,10.0,73.0
1157,5.1,0.51,0.18,2.1,0.042,16.0,0.9924,3.46,0.87,12.9,85.0
538,12.9,0.35,0.49,5.8,0.066,5.0,1.0014,3.2,0.66,12.0,30.0
930,6.6,0.61,0.01,1.9,0.08,8.0,0.99746,3.69,0.73,10.5,17.0
1400,7.9,0.69,0.21,2.1,0.08,33.0,0.9962,3.25,0.51,9.9,108.0
994,10.0,0.35,0.45,2.5,0.092,20.0,0.99918,3.15,0.43,9.4,68.0
544,14.3,0.31,0.74,1.8,0.075,6.0,1.0008,2.86,0.79,8.4,9.0
21,7.6,0.39,0.31,2.3,0.082,23.0,0.9982,3.52,0.65,9.7,48.0
225,7.7,0.43,0.25,2.6,0.073,29.0,0.99615,3.37,0.58,10.5,34.0
1276,8.5,0.4,0.4,6.3,0.05,3.0,0.99566,3.28,0.56,12.0,7.0
601,13.2,0.46,0.52,2.2,0.071,12.0,1.0006,3.1,0.56,9.0,23.0
197,11.5,0.3,0.6,2.0,0.067,12.0,0.9981,3.11,0.97,10.1,15.0
1057,7.6,0.42,0.25,3.9,0.104,28.0,0.99784,3.15,0.57,9.1,62.0
204,7.0,0.43,0.36,1.6,0.089,14.0,0.99615,3.34,0.56,9.2,23.0
1519,6.6,0.7,0.08,2.6,0.106,14.0,0.99665,3.44,0.58,10.2,13.0
79,8.3,0.625,0.2,1.5,0.08,27.0,0.9972,3.16,1.12,9.1,92.0
1241,9.8,0.37,0.39,2.5,0.079,28.0,0.99729,3.16,0.59,9.8,37.0
737,8.2,0.59,0.0,2.5,0.093,19.0,1.0002,3.5,0.65,9.3,39.0
1035,10.1,0.37,0.34,2.4,0.085,5.0,0.99683,3.17,0.65,10.6,12.0
1130,9.1,0.6,0.0,1.9,0.058,5.0,0.9977,3.18,0.63,10.4,5.0
