,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
1578,6.8,0.67,0.15,1.8,0.118,13.0,0.9954,3.42,0.67,11.3,7.0
960,8.5,0.47,0.27,1.9,0.058,18.0,0.99518,3.16,0.85,11.1,20.0
303,7.4,0.67,0.12,1.6,0.186,5.0,0.996,3.39,0.54,9.5,16.0
227,9.0,0.82,0.14,2.6,0.089,9.0,0.9984,3.39,0.63,9.8,14.0
1119,5.6,0.66,0.0,2.5,0.066,7.0,0.99256,3.52,0.58,12.9,8.0
338,12.4,0.49,0.58,3.0,0.103,28.0,1.0008,3.16,1.0,11.5,71.0
859,6.8,0.56,0.22,1.8,0.074,15.0,0.99438,3.4,0.82,11.2,9.0
100,8.3,0.61,0.3,2.1,0.084,11.0,0.9972,3.4,0.61,10.2,39.0
1111,5.4,0.42,0.27,2.0,0.092,23.0,0.99471,3.78,0.64,12.3,32.0
885,8.9,0.75,0.14,2.5,0.086,9.0,0.99824,3.34,0.64,10.5,21.0
793,7.7,0.6,0.0,2.6,0.055,7.0,0.99639,3.38,0.56,10.8,6.0
699,11.8,0.38,0.55,2.1,0.071,5.0,0.9986,3.11,0.62,10.8,14.0
892,10.1,0.45,0.23,1.9,0.082,10.0,0.99774,3.22,0.65,9.3,8.0
1257,7.0,0.58,0.28,4.8,0.085,12.0,0.99633,3.32,0.7,11.0,57.0
226,8.9,0.59,0.5,2.0,0.337,27.0,0.9964,3.04,1.61,9.5,54.0
138,7.8,0.56,0.19,2.1,0.081,15.0,0.9962,3.33,0.54,9.5,90.0
778,8.3,0.43,0.3,3.4,0.079,7.0,0.99788,3.36,0.61,10.5,27.0
529,9.9,0.63,0.24,2.4,0.077,6.0,0.9974,3.09,0.57,9.4,27.0
729,6.4,0.865,0.03,3.2,0.071,27.0,0.995,3.61,0.49,12.7,31.0
251,7.1,0.6,0.0,1.8,0.074,16.0,0.9972,3.47,0.7,9.9,18.0
757,8.1,0.87,0.0,2.2,0.084,10.0,0.99656,3.25,0.5,9.8,21.0
1194,7.0,0.745,0.12,1.8,0.114,15.0,0.99588,3.22,0.59,9.5,49.0
261,7.0,0.975,0.04,2.0,0.087,12.0,0.99565,3.35,0.6,9.4,55.0
113,10.1,0.31,0.44,2.3,0.08,22.0,0.9988,3.32,0.67,9.7,24.0
1218,8.2,0.4,0.31,1.9,0.082,8.0,0.996,3.24,0.69,10.6,16.0
1521,6.9,0.48,0.2,1.9,0.082,9.0,0.99585,3.39,0.43,9.05,14.0
241,12.0,0.38,0.56,2.1,0.093,6.0,0.99925,3.14,0.71,10.9,18.0
790,7.4,0.37,0.43,2.6,0.082,18.0,0.99708,3.33,0.68,9.7,64.0
168,6.8,0.63,0.07,2.1,0.089,11.0,0.9953,3.47,0.55,10.4,33.0
1514,6.9,0.84,0.21,4.1,0.074,16.0,0.99842,3.53,0.72,9.233333333,49.0
1513,6.4,0.56,0.15,1.8,0.078,17.0,0.99294,3.33,0.6,10.5,48.0
750,8.3,0.65,0.1,2.9,0.089,17.0,0.99803,3.29,0.55,9.5,23.0
1288,7.0,0.6,0.3,4.5,0.068,20.0,0.99914,3.3,1.17,10.2,90.0
678,8.3,0.78,0.1,2.6,0.081,45.0,0.9983,3.48,0.53,10.0,42.0
548,12.4,0.35,0.49,2.6,0.079,27.0,0.9994,3.12,0.75,10.4,42.0
1346,6.1,0.59,0.01,2.1,0.056,5.0,0.99472,3.52,0.56,11.4,8.0
861,5.8,1.01,0.66,2.0,0.039,15.0,0.99357,3.66,0.6,11.5,73.0
286,12.0,0.45,0.55,2.0,0.073,25.0,0.9997,3.1,0.76,10.3,24.0
824,7.1,0.48,0.28,2.8,0.068,6.0,0.99682,3.24,0.53,10.3,10.0
1271,7.3,0.44,0.2,1.6,0.049,24.0,0.9935,3.38,0.57,11.7,40.0
373,7.4,0.55,0.22,2.2,0.106,12.0,0.9959,3.05,0.63,9.2,60.0
130,8.0,0.745,0.56,2.0,0.118,30.0,0.9968,3.24,0.66,9.4,104.0
49,5.6,0.31,0.37,1.4,0.074,12.0,0.9954,3.32,0.58,9.2,84.0
41,8.8,0.61,0.3,2.8,0.088,17.0,0.9976,3.26,0.51,9.3,29.0
1518,7.4,0.47,0.46,2.2,0.114,7.0,0.99647,3.32,0.63,10.5,13.0
375,11.5,0.54,0.71,4.4,0.124,6.0,0.9984,3.01,0.83,11.8,9.0
460,9.2,0.43,0.52,2.3,0.083,14.0,0.9976,3.35,0.61,11.3,9.0
323,10.3,0.59,0.42,2.8,0.09,35.0,0.999,3.28,0.7,9.5,38.0
748,7.2,0.5,0.18,2.1,0.071,12.0,0.99761,3.52,0.72,9.6,19.0
1083,8.7,0.42,0.45,2.4,0.072,32.0,0.99617,3.33,0.77,12.0,27.0
554,15.5,0.645,0.49,4.2,0.095,10.0,1.00315,2.92,0.74,11.1,13.0
512,10.7,0.4,0.48,2.1,0.125,15.0,0.998,3.03,0.81,9.7,34.0
143,6.3,0.39,0.08,1.7,0.066,3.0,0.9954,3.34,0.58,9.4,17.0
1484,6.8,0.91,0.06,2.0,0.06,4.0,0.99592,3.53,0.64,10.9,7.0
530,9.1,0.22,0.24,2.1,0.078,1.0,0.999,3.41,0.87,10.3,27.0
257,6.6,0.695,0.0,2.1,0.075,12.0,0.9968,3.49,0.67,9.2,44.0
633,10.1,0.935,0.22,3.4,0.105,11.0,1.001,3.43,0.64,11.3,75.0
784,7.1,0.59,0.01,2.5,0.077,20.0,0.99746,3.55,0.59,9.8,65.0
1459,7.9,0.2,0.35,1.7,0.054,7.0,0.99458,3.32,0.8,11.9,8.0
1339,7.5,0.51,0.02,1.7,0.084,13.0,0.99538,3.36,0.54,10.5,18.0
185,8.9,0.31,0.57,2.0,0.111,26.0,0.9971,3.26,0.53,9.7,59.0
523,9.3,0.4,0.49,2.5,0.085,38.0,0.9978,3.22,0.55,9.4,104.0
434,10.4,0.41,0.55,3.2,0.076,22.0,0.9996,3.15,0.89,9.9,32.0
202,6.8,0.5,0.11,1.5,0.075,16.0,0.99545,3.36,0.79,9.5,33.0
769,7.9,0.72,0.01,1.9,0.076,7.0,0.99668,3.39,0.54,9.6,25.0
1105,6.3,0.57,0.28,2.1,0.048,13.0,0.99374,3.41,0.6,12.8,36.0
1176,6.5,0.88,0.03,5.6,0.079,23.0,0.99572,3.58,0.5,11.2,24.0
646,7.3,0.67,0.05,3.6,0.107,6.0,0.9972,3.4,0.63,10.1,14.0
354,6.1,0.21,0.4,1.4,0.066,40.5,0.9912,3.25,0.59,11.9,124.5
68,9.3,0.32,0.57,2.0,0.074,27.0,0.9969,3.28,0.79,10.7,38.0
1142,6.9,0.45,0.11,2.4,0.043,6.0,0.99354,3.3,0.65,11.4,6.0
1309,7.0,0.62,0.1,1.4,0.071,27.0,0.996,3.28,0.61,9.2,36.0
247,8.2,0.6,0.17,2.3,0.072,11.0,0.9963,3.2,0.45,9.3,62.0
302,8.3,0.705,0.12,2.6,0.092,12.0,0.9994,3.51,0.72,10.0,16.0
1054,8.2,0.64,0.27,2.0,0.095,5.0,0.99747,3.13,0.62,9.1,72.0
719,7.1,0.66,0.0,3.9,0.086,17.0,0.9976,3.46,0.54,9.5,28.0
1359,11.6,0.475,0.4,1.4,0.091,6.0,0.99704,3.07,0.65,10.03333333,22.0
878,8.8,0.61,0.19,4.0,0.094,30.0,0.99787,3.22,0.5,10.0,39.0
710,10.6,1.025,0.43,2.8,0.08,21.0,0.9985,3.06,0.57,10.1,63.0
829,5.9,0.61,0.08,2.1,0.071,16.0,0.99376,3.56,0.77,11.1,8.0
708,7.8,0.545,0.12,2.5,0.068,11.0,0.996,3.34,0.61,11.6,24.0
782,9.0,0.82,0.05,2.4,0.081,26.0,0.99814,3.36,0.53,10.0,70.0
576,9.9,0.5,0.24,2.3,0.103,6.0,0.9978,3.34,0.52,10.0,8.0
1295,6.6,0.63,0.0,4.3,0.093,51.0,0.99558,3.2,0.45,9.5,26.5
1552,6.3,0.68,0.01,3.7,0.103,32.0,0.99586,3.51,0.66,11.3,22.0
299,6.9,0.67,0.06,2.1,0.08,8.0,0.99845,3.68,0.71,9.6,25.0
1269,5.5,0.49,0.03,1.8,0.044,28.0,0.9908,3.5,0.82,14.0,59.0
560,12.7,0.6,0.49,2.8,0.075,5.0,0.9994,3.14,0.57,11.4,14.0
1003,6.8,0.36,0.32,1.8,0.067,4.0,0.9928,3.36,0.55,12.8,4.0
665,9.4,0.59,0.14,2.0,0.084,25.0,0.9981,3.14,0.56,9.7,23.0
86,8.6,0.49,0.28,1.9,0.11,20.0,0.9972,2.93,1.95,9.9,116.0
768,7.1,0.59,0.02,2.3,0.082,24.0,0.99744,3.55,0.53,9.7,70.0
629,7.6,0.685,0.23,2.3,0.111,20.0,0.9964,3.21,0.61,9.3,64.0
1175,6.5,0.61,0.0,2.2,0.095,48.0,0.99541,3.61,0.7,11.5,11.0
689,8.1,0.38,0.48,1.8,0.157,5.0,0.9976,3.3,1.05,9.4,12.0
297,7.1,0.63,0.06,2.0,0.083,8.0,0.99855,3.67,0.73,9.6,21.0
495,10.7,0.35,0.53,2.6,0.07,5.0,0.9972,3.15,0.65,11.0,11.0
104,7.2,0.49,0.24,2.2,0.07,5.0,0.996,3.33,0.48,9.4,31.0
995,7.7,0.6,0.06,2.0,0.079,19.0,0.99697,3.39,0.62,10.1,22.0
871,6.9,0.56,0.03,1.5,0.086,36.0,0.99522,3.53,0.57,10.6,10.0
1373,7.7,0.75,0.27,3.8,0.11,34.0,0.99664,3.24,0.45,9.3,55.0
1201,7.9,0.34,0.36,1.9,0.065,5.0,0.99419,3.27,0.54,11.2,5.0
1577,6.2,0.7,0.15,5.1,0.076,13.0,0.99622,3.54,0.6,11.9,14.0
1537,5.4,0.58,0.08,1.9,0.059,20.0,0.99484,3.5,0.64,10.2,11.0
1586,7.5,0.31,0.41,2.4,0.065,34.0,0.99492,3.34,0.85,11.4,26.0
614,9.2,0.755,0.18,2.2,0.148,10.0,0.9969,2.87,1.36,10.2,93.0
166,6.8,0.64,0.1,2.1,0.085,18.0,0.9956,3.34,0.52,10.2,83.0
222,6.8,0.61,0.04,1.5,0.057,5.0,0.99525,3.42,0.6,9.5,5.0
594,7.9,0.72,0.17,2.6,0.096,20.0,0.9978,3.4,0.53,9.5,18.0
1049,9.3,0.5,0.36,1.8,0.084,6.0,0.99704,3.27,0.77,10.8,11.0
88,9.3,0.39,0.44,2.1,0.107,34.0,0.9978,3.14,1.22,9.5,91.0
1350,9.0,0.6,0.29,2.0,0.069,32.0,0.99654,3.34,0.57,10.0,41.0
1504,7.5,0.38,0.57,2.3,0.106,5.0,0.99605,3.36,0.55,11.4,7.0
126,8.2,1.33,0.0,1.7,0.081,3.0,0.9964,3.53,0.49,10.9,9.0
1453,7.6,0.49,0.33,1.9,0.074,27.0,0.99706,3.41,0.58,9.0,58.0
347,13.8,0.49,0.67,3.0,0.093,6.0,0.9986,3.02,0.93,12.0,9.0
1134,8.5,0.28,0.35,1.7,0.061,6.0,0.99524,3.3,0.74,11.8,9.0
51,6.6,0.52,0.04,2.2,0.069,8.0,0.9956,3.4,0.63,9.4,7.0
862,7.5,0.42,0.32,2.7,0.067,7.0,0.99628,3.24,0.44,10.4,18.0
1449,7.2,0.38,0.31,2.0,0.056,15.0,0.99472,3.23,0.76,11.3,14.0
1460,6.4,0.42,0.09,2.3,0.054,34.0,0.99724,3.41,0.68,10.4,30.0
1154,6.6,0.58,0.0,2.2,0.1,50.0,0.99544,3.59,0.68,11.4,13.0
1495,7.0,0.43,0.02,1.9,0.08,15.0,0.99492,3.35,0.81,10.6,13.0
316,9.6,0.56,0.23,3.4,0.102,37.0,0.9996,3.3,0.65,10.1,55.0
1033,7.5,0.57,0.08,2.6,0.089,14.0,0.99592,3.3,0.59,10.4,13.0
1107,9.1,0.3,0.41,2.0,0.068,10.0,0.99523,3.27,0.85,11.7,14.0
311,7.9,0.53,0.24,2.0,0.072,15.0,0.996,3.27,0.54,9.4,90.0
48,6.4,0.4,0.23,1.6,0.066,5.0,0.9958,3.34,0.56,9.2,7.0
1423,6.4,0.53,0.09,3.9,0.123,14.0,0.9968,3.5,0.67,11.0,17.0
263,7.9,0.37,0.23,1.8,0.077,23.0,0.9963,3.28,0.67,9.3,26.0
1045,6.9,0.44,0.0,1.4,0.07,32.0,0.99438,3.32,0.58,11.4,6.0
112,8.4,0.6,0.1,2.2,0.085,14.0,0.9964,3.15,0.66,9.8,97.0
74,9.7,0.32,0.54,2.5,0.094,28.0,0.9984,3.28,0.82,9.6,55.0
1072,7.2,0.35,0.26,1.8,0.083,33.0,0.9968,3.4,0.58,9.5,42.0
3,11.2,0.28,0.56,1.9,0.075,17.0,0.998,3.16,0.58,9.8,43.0
734,7.7,0.56,0.2,2.0,0.075,9.0,0.9987,3.48,0.62,9.3,30.0
1252,7.1,0.72,0.0,1.8,0.123,6.0,0.99627,3.45,0.58,9.8,8.0
547,10.6,0.31,0.49,2.5,0.067,6.0,0.9987,3.26,0.86,10.7,15.0
1317,9.9,0.44,0.46,2.2,0.091,10.0,0.99638,3.18,0.69,11.9,31.0
1417,7.3,0.34,0.33,2.5,0.064,21.0,0.9952,3.35,0.77,12.1,16.0
489,9.3,0.39,0.4,2.6,0.073,10.0,0.9984,3.34,0.75,10.2,16.0
879,7.2,0.6,0.04,2.5,0.076,18.0,0.99745,3.53,0.55,9.5,70.0
774,7.9,0.4,0.3,1.8,0.157,2.0,0.99727,3.31,0.91,9.5,43.0
622,10.0,0.58,0.22,1.9,0.08,9.0,0.9974,3.13,0.55,9.5,23.0
314,7.4,0.36,0.29,2.6,0.087,26.0,0.99645,3.39,0.68,11.0,46.0
1166,9.9,0.54,0.26,2.0,0.111,7.0,0.99709,2.94,0.98,10.2,53.0
1469,7.3,0.98,0.05,2.1,0.061,20.0,0.99705,3.31,0.55,9.7,29.0
1527,7.1,0.53,0.07,1.7,0.071,15.0,0.9951,3.29,0.66,10.8,9.0
52,6.6,0.5,0.04,2.1,0.068,6.0,0.9955,3.39,0.64,9.4,8.0
1414,10.0,0.32,0.59,2.2,0.077,3.0,0.9994,3.2,0.78,9.6,12.0
1197,7.7,0.57,0.21,1.5,0.069,4.0,0.99458,3.16,0.54,9.8,5.0
120,7.3,1.07,0.09,1.7,0.178,10.0,0.9962,3.3,0.57,9.0,79.0
1251,7.5,0.58,0.14,2.2,0.077,27.0,0.9963,3.28,0.59,9.8,33.0
17,8.1,0.56,0.28,1.7,0.368,16.0,0.9968,3.11,1.28,9.3,40.0
943,9.8,0.5,0.34,2.3,0.094,10.0,0.99864,3.24,0.6,9.7,35.0
1016,8.9,0.38,0.4,2.2,0.068,12.0,0.99486,3.27,0.75,12.6,16.0
473,9.9,0.35,0.55,2.1,0.062,5.0,0.9971,3.26,0.79,10.6,9.0
662,7.2,0.57,0.06,1.6,0.076,9.0,0.9972,3.36,0.7,9.6,18.0
1198,7.7,0.26,0.26,2.0,0.052,19.0,0.9951,3.15,0.79,10.9,58.0
326,11.6,0.53,0.66,3.65,0.121,6.0,0.9978,3.05,0.74,11.5,8.0
162,7.8,0.53,0.04,1.7,0.076,17.0,0.9964,3.33,0.56,10.0,14.0
1186,6.6,0.8,0.03,7.8,0.079,6.0,0.9963,3.52,0.5,12.2,6.0
600,8.2,0.915,0.27,2.1,0.088,7.0,0.9962,3.26,0.47,10.0,16.0
1396,8.7,0.675,0.1,1.6,0.09,4.0,0.99745,3.31,0.65,9.55,7.0
991,7.1,0.34,0.28,2.0,0.082,31.0,0.99694,3.45,0.48,9.4,37.0
60,8.8,0.4,0.4,2.2,0.079,19.0,0.998,3.44,0.64,9.2,33.0
1382,8.0,0.6,0.22,2.1,0.08,25.0,0.99613,3.3,0.49,9.9,80.0
528,8.2,0.42,0.49,2.6,0.084,32.0,0.9988,3.34,0.75,8.7,23.0
405,8.7,0.31,0.46,1.4,0.059,11.0,0.9966,3.36,0.76,10.1,14.0
1283,8.7,0.63,0.28,2.7,0.096,17.0,0.99734,3.26,0.63,10.2,52.0
679,10.8,0.26,0.45,3.3,0.06,20.0,0.9972,3.13,0.54,9.6,29.0
1027,6.4,0.795,0.0,2.2,0.065,28.0,0.99378,3.49,0.52,11.6,24.0
422,7.7,0.96,0.2,2.0,0.047,15.0,0.9955,3.36,0.44,10.9,45.0
586,11.1,0.31,0.49,2.7,0.094,16.0,0.9986,3.12,1.02,10.6,31.0
620,8.3,0.54,0.24,3.4,0.076,16.0,0.9976,3.27,0.61,9.4,96.0
802,5.1,0.585,0.0,1.7,0.044,14.0,0.99264,3.56,0.94,12.9,72.0
1173,7.6,0.36,0.31,1.7,0.079,26.0,0.99716,3.46,0.62,9.5,39.0
0,7.4,0.7,0.0,1.9,0.076,11.0,0.9978,3.51,0.56,9.4,23.0
659,7.1,0.84,0.02,4.4,0.096,5.0,0.997,3.41,0.57,11.0,8.0
1287,8.0,0.6,0.08,2.6,0.056,3.0,0.99286,3.22,0.37,13.0,4.0
20,8.9,0.22,0.48,1.8,0.077,29.0,0.9968,3.39,0.53,9.4,31.0
122,7.3,0.695,0.0,2.5,0.075,3.0,0.998,3.49,0.52,9.2,10.0
192,6.8,0.63,0.12,3.8,0.099,16.0,0.9969,3.28,0.61,9.5,110.0
1152,8.3,0.6,0.25,2.2,0.118,9.0,0.99616,3.15,0.53,9.8,29.0
1428,7.8,0.64,0.0,1.9,0.072,27.0,0.9962,3.31,0.63,11.0,28.0
1345,8.2,0.44,0.24,2.3,0.063,10.0,0.99613,3.25,0.53,10.2,18.0
611,13.2,0.38,0.55,2.7,0.081,5.0,1.0006,2.98,0.54,9.4,11.0
988,7.7,0.39,0.12,1.7,0.097,19.0,0.99596,3.16,0.49,9.4,8.0
596,12.4,0.4,0.51,2.0,0.059,6.0,0.9994,3.04,0.6,9.3,18.0
1162,8.5,0.32,0.42,2.3,0.075,12.0,0.99434,3.14,0.71,11.8,7.0
740,8.3,0.76,0.29,4.2,0.075,12.0,0.9965,3.45,0.68,11.5,4.0
481,9.4,0.3,0.56,2.8,0.08,6.0,0.9964,3.15,0.92,11.7,11.0
986,9.8,0.34,0.39,1.4,0.066,3.0,0.9947,3.19,0.55,11.4,4.0
312,9.0,0.46,0.31,2.8,0.093,19.0,0.99815,3.32,0.63,9.5,79.0
1422,7.0,0.54,0.0,2.1,0.079,39.0,0.9956,3.39,0.84,11.4,16.0
1204,7.2,0.36,0.46,2.1,0.074,24.0,0.99534,3.4,0.85,11.0,20.0
579,10.6,0.31,0.49,2.2,0.063,18.0,0.9976,3.14,0.51,9.8,22.0
186,7.4,0.39,0.48,2.0,0.082,14.0,0.9972,3.34,0.55,9.2,53.0
721,8.9,0.48,0.24,2.85,0.094,35.0,0.9982,3.1,0.53,9.2,71.0
1138,7.5,0.41,0.15,3.7,0.104,29.0,0.99786,3.14,0.58,9.1,65.0
926,9.4,0.24,0.33,2.3,0.061,52.0,0.99786,3.47,0.9,10.2,21.0
485,10.2,0.67,0.39,1.9,0.054,6.0,0.9976,3.17,0.47,10.0,11.0
1454,11.7,0.45,0.63,2.2,0.073,7.0,0.99974,3.21,0.69,10.9,16.0
772,9.5,0.57,0.27,2.3,0.082,23.0,0.99782,3.27,0.55,9.4,121.0
333,8.4,0.56,0.08,2.1,0.105,16.0,0.9958,3.13,0.52,11.0,28.0
415,8.6,0.725,0.24,6.6,0.117,31.0,1.0014,3.32,1.07,9.3,103.0
1406,8.2,0.24,0.34,5.1,0.062,8.0,0.9974,3.22,0.94,10.9,14.0
1120,7.9,0.54,0.34,2.5,0.076,8.0,0.99235,3.2,0.72,13.1,9.0
6,7.9,0.6,0.06,1.6,0.069,15.0,0.9964,3.3,0.46,9.4,44.0
609,6.3,0.36,0.19,3.2,0.075,15.0,0.9956,3.56,0.52,12.7,24.0
1407,6.0,0.51,0.0,2.1,0.064,40.0,0.995,3.54,0.93,10.7,14.0
903,6.8,0.59,0.06,6.0,0.06,11.0,0.9962,3.41,0.59,10.8,7.0
169,7.5,0.705,0.24,1.8,0.36,15.0,0.9964,3.0,1.59,9.5,48.0
648,8.7,0.48,0.3,2.8,0.066,10.0,0.9964,3.33,0.67,11.2,18.0
901,7.4,0.635,0.1,2.4,0.08,16.0,0.99736,3.58,0.69,10.8,17.0
496,7.8,0.52,0.25,1.9,0.081,14.0,0.9984,3.43,0.65,9.0,24.0
278,10.3,0.32,0.45,6.4,0.073,5.0,0.9976,3.23,0.82,12.6,8.0
1364,7.2,0.605,0.02,1.9,0.096,10.0,0.995,3.46,0.53,11.8,21.0
179,8.8,0.61,0.14,2.4,0.067,10.0,0.9969,3.19,0.59,9.5,32.0
1184,6.7,0.64,0.23,2.1,0.08,11.0,0.99538,3.36,0.7,10.9,108.0
1274,7.8,0.58,0.13,2.1,0.102,17.0,0.9944,3.24,0.53,11.2,19.0
932,7.6,0.4,0.29,1.9,0.078,29.0,0.9971,3.45,0.59,9.5,37.0
1163,9.0,0.785,0.24,1.7,0.078,10.0,0.99692,3.29,0.67,10.0,11.0
1227,9.0,0.58,0.25,2.0,0.104,8.0,0.99769,3.27,0.72,9.6,13.0
258,7.7,0.41,0.76,1.8,0.611,8.0,0.9968,3.06,1.26,9.4,37.0
718,8.4,0.56,0.04,2.0,0.082,10.0,0.9976,3.22,0.44,9.6,12.0
449,11.9,0.39,0.69,2.8,0.095,17.0,0.9994,3.1,0.61,10.8,18.0
1132,7.4,0.36,0.34,1.8,0.075,18.0,0.9933,3.38,0.88,13.6,20.0
208,7.8,0.44,0.28,2.7,0.1,18.0,0.9966,3.22,0.67,9.4,77.0
371,7.9,0.24,0.4,1.6,0.056,11.0,0.9967,3.32,0.87,8.7,14.0
841,6.6,0.66,0.0,3.0,0.115,21.0,0.99629,3.45,0.63,10.3,10.0
1009,9.6,0.5,0.36,2.8,0.116,26.0,0.99722,3.18,0.68,10.9,29.0
505,10.2,0.49,0.63,2.9,0.072,10.0,0.9968,3.16,0.78,12.5,16.0
77,6.8,0.785,0.0,2.4,0.104,14.0,0.9966,3.52,0.55,10.7,16.0
456,8.9,0.59,0.39,2.3,0.095,5.0,0.9986,3.37,0.58,10.3,17.0
1243,8.3,0.56,0.22,2.4,0.082,10.0,0.9983,3.37,0.62,9.5,76.0
240,8.9,0.635,0.37,1.7,0.263,5.0,0.9971,3.0,1.09,9.3,57.0
1211,6.6,0.44,0.15,2.1,0.076,22.0,0.9957,3.32,0.62,9.3,31.0
569,6.2,0.36,0.24,2.2,0.095,19.0,0.9946,3.57,0.57,11.7,23.0
1508,7.1,0.27,0.6,2.1,0.074,17.0,0.99814,3.38,0.72,10.6,8.0
1556,6.6,0.88,0.04,2.2,0.066,12.0,0.99636,3.53,0.56,9.9,8.0
174,7.3,0.38,0.21,2.0,0.08,7.0,0.9961,3.33,0.47,9.5,28.0
1268,6.9,0.41,0.31,2.0,0.079,21.0,0.99668,3.47,0.55,9.5,30.0
409,12.5,0.46,0.49,4.5,0.07,26.0,0.9981,3.05,0.57,9.6,23.0
1034,8.9,0.745,0.18,2.5,0.077,15.0,0.99739,3.2,0.47,9.7,33.0
1144,7.3,0.32,0.23,2.3,0.066,35.0,0.99588,3.43,0.62,10.1,35.0
260,7.9,0.33,0.23,1.7,0.077,18.0,0.99625,3.29,0.65,9.3,27.0
380,8.3,0.26,0.42,2.0,0.08,11.0,0.9974,3.21,0.8,9.4,16.0
475,9.6,0.68,0.24,2.2,0.087,5.0,0.9988,3.14,0.6,10.2,23.0
1085,6.8,0.48,0.08,1.8,0.074,40.0,0.99529,3.12,0.49,9.6,24.0
557,15.6,0.645,0.49,4.2,0.095,10.0,1.00315,2.92,0.74,11.1,13.0
210,9.7,0.53,0.6,2.0,0.039,5.0,0.99585,3.3,0.86,12.4,14.0
663,10.1,0.28,0.46,1.8,0.05,5.0,0.9974,3.04,0.79,10.2,8.0
670,6.9,0.4,0.24,2.5,0.083,30.0,0.9959,3.26,0.58,10.0,15.0
1071,7.5,0.77,0.2,8.1,0.098,30.0,0.99892,3.2,0.58,9.2,62.0
1229,7.6,0.43,0.29,2.1,0.075,19.0,0.99718,3.4,0.64,9.5,47.0
408,10.4,0.34,0.58,3.7,0.174,6.0,0.997,3.19,0.7,11.3,10.0
1335,6.6,0.58,0.02,2.4,0.069,19.0,0.99387,3.38,0.66,12.6,21.0
777,6.9,0.635,0.17,2.4,0.241,6.0,0.9961,3.4,0.59,10.3,12.0
920,9.6,0.41,0.37,2.3,0.091,10.0,0.99786,3.24,0.56,10.5,13.0
935,8.8,0.3,0.38,2.3,0.06,19.0,0.99543,3.39,0.72,11.8,53.0
746,8.2,0.34,0.38,2.5,0.08,12.0,0.9978,3.3,0.47,9.0,45.0
1546,7.0,0.57,0.02,2.0,0.072,17.0,0.99575,3.36,0.61,10.2,9.0
1467,6.7,1.04,0.08,2.3,0.067,19.0,0.99648,3.52,0.57,11.0,13.0
1172,9.7,0.42,0.46,2.1,0.074,5.0,0.99649,3.27,0.74,12.3,11.0
1160,10.6,0.36,0.57,2.3,0.087,6.0,0.99676,3.14,0.72,11.1,14.0
797,9.3,0.37,0.44,1.6,0.038,21.0,0.99526,3.24,0.81,10.8,21.0
1127,6.3,0.76,0.0,2.9,0.072,26.0,0.99379,3.51,0.6,11.5,26.0
1543,11.1,0.44,0.42,2.2,0.064,14.0,0.99758,3.25,0.57,10.4,5.0
1485,7.0,0.655,0.16,2.1,0.074,8.0,0.99606,3.37,0.55,9.7,17.0
506,10.4,0.24,0.46,1.8,0.075,6.0,0.9976,3.25,1.02,10.8,15.0
1040,7.4,0.965,0.0,2.2,0.088,16.0,0.99756,3.58,0.67,10.2,16.0
487,10.2,0.645,0.36,1.8,0.053,5.0,0.9982,3.17,0.42,10.0,9.0
